input,output
"How many products exist?","product_count = self.env['product.product'].search_count([])"
"How many CRM opportunities are in the 'new' state?","new_opportunities_count = self.env['crm.lead'].search_count([('type', '=', 'opportunity'), ('stage_id.name', '=', 'New')])"
"Create a new customer named TechCorp with website www.techcorp.com","self.env['res.partner'].create({'name': 'TechCorp', 'website': 'www.techcorp.com', 'customer_rank': 1})"
"Update all draft sales orders to be priority High","draft_orders = self.env['sale.order'].search([('state', '=', 'draft')])\ndraft_orders.write({'priority': 'high'})"
"Find all customers who haven't placed an order in the last 30 days","from datetime import datetime, timedelta\nthirty_days_ago = datetime.now() - timedelta(days=30)\nrecent_order_partners = self.env['sale.order'].search([('date_order', '>=', thirty_days_ago)]).mapped('partner_id')\ninactive_customers = self.env['res.partner'].search([('customer_rank', '>', 0), ('id', 'not in', recent_order_partners.ids)])"
"List all products with stock less than 10 units","low_stock_products = self.env['product.product'].search([('qty_available', '<', 10)])"
"Count the number of sales orders created this month","from datetime import datetime\nfirst_day = datetime.today().replace(day=1)\nmonthly_orders_count = self.env['sale.order'].search_count([('date_order', '>=', first_day.strftime('%Y-%m-%d'))])"
"Archive all inactive products","inactive_products = self.env['product.product'].search([('active', '=', True), ('sale_ok', '=', False), ('purchase_ok', '=', False)])\ninactive_products.write({'active': False})"
"Create a new warehouse in New York","self.env['stock.warehouse'].create({'name': 'New York Warehouse', 'code': 'NY', 'company_id': self.env.company.id})"
"Find the top 10 most expensive products","expensive_products = self.env['product.product'].search([('list_price', '>', 0)], order='list_price desc', limit=10)"
"Mark all overdue invoices as urgent","overdue_invoices = self.env['account.move'].search([('invoice_date_due', '<', fields.Date.today()), ('state', '=', 'posted'), ('payment_state', '!=', 'paid')])\noverdue_invoices.write({'priority': 'high'})"
"Calculate the total value of current inventory","products = self.env['product.product'].search([])\ntotal_value = sum(product.qty_available * product.standard_price for product in products)"
"Send an email to all customers who have unpaid invoices","customers_with_unpaid = self.env['res.partner'].search([('invoice_ids', '!=', False), ('invoice_ids.state', '=', 'posted'), ('invoice_ids.payment_state', '!=', 'paid')])\nmail_template = self.env.ref('account.email_template_edi_invoice_overdue')\nfor customer in customers_with_unpaid:\n    mail_template.send_mail(customer.id, force_send=True)"
"How many sales are confirmed but not delivered?","undelivered_sales = self.env['sale.order'].search_count([('state', '=', 'sale'), ('delivery_count', '=', 0)])"
"Create a new sales order for customer ABC with 5 units of product XYZ","customer = self.env['res.partner'].search([('name', '=', 'ABC')], limit=1)\nproduct = self.env['product.product'].search([('default_code', '=', 'XYZ')], limit=1)\norder = self.env['sale.order'].create({'partner_id': customer.id})\nself.env['sale.order.line'].create({'order_id': order.id, 'product_id': product.id, 'product_uom_qty': 5})"
"Get a list of all products in category 'Electronics'","electronics_category = self.env['product.category'].search([('name', '=', 'Electronics')], limit=1)\nelectronics_products = self.env['product.product'].search([('categ_id', '=', electronics_category.id)])"
"Find the average sale price of all products","products = self.env['product.product'].search([('list_price', '>', 0)])\navg_price = sum(products.mapped('list_price')) / len(products) if products else 0"
"Get the total number of customers we have","customer_count = self.env['res.partner'].search_count([('customer_rank', '>', 0)])"
"Find the products that have never been sold","sold_products = self.env['sale.order.line'].search([]).mapped('product_id')\nnever_sold = self.env['product.product'].search([('id', 'not in', sold_products.ids), ('sale_ok', '=', True)])"
"Create a new employee named John Smith as a sales person","self.env['hr.employee'].create({'name': 'John Smith', 'job_title': 'Sales Person', 'department_id': self.env.ref('hr.dep_sales').id})"
"Cancel all draft purchase orders older than 30 days","from datetime import datetime, timedelta\nthirty_days_ago = datetime.now() - timedelta(days=30)\nold_draft_pos = self.env['purchase.order'].search([('state', '=', 'draft'), ('date_order', '<', thirty_days_ago.strftime('%Y-%m-%d'))])\nold_draft_pos.button_cancel()"
"Find all products that need to be reordered based on minimum stock rules","reordering_products = self.env['product.product'].search([('qty_available', '<=', 'orderpoint_ids.product_min_qty')])"
"Count the number of purchase orders in the 'to approve' state","to_approve_count = self.env['purchase.order'].search_count([('state', '=', 'to approve')])"
"Get the total sales amount for the current month","from datetime import datetime\nfirst_day = datetime.today().replace(day=1)\nmonthly_sales = self.env['sale.order'].search([('date_order', '>=', first_day.strftime('%Y-%m-%d')), ('state', 'in', ['sale', 'done'])])\ntotal_amount = sum(order.amount_total for order in monthly_sales)"
"Find vendors who we haven't ordered from in the last 60 days","from datetime import datetime, timedelta\nsixty_days_ago = datetime.now() - timedelta(days=60)\nrecent_vendors = self.env['purchase.order'].search([('date_order', '>=', sixty_days_ago.strftime('%Y-%m-%d'))]).mapped('partner_id')\ninactive_vendors = self.env['res.partner'].search([('supplier_rank', '>', 0), ('id', 'not in', recent_vendors.ids)])"
"Update the price of all products in category 'Furniture' by adding 5%","furniture_category = self.env['product.category'].search([('name', '=', 'Furniture')], limit=1)\nfurniture_products = self.env['product.product'].search([('categ_id', '=', furniture_category.id)])\nfor product in furniture_products:\n    product.write({'list_price': product.list_price * 1.05})"
"Calculate the total weight of a sales order","order = self.env['sale.order'].browse(self.env.context.get('active_id'))\ntotal_weight = sum(line.product_id.weight * line.product_uom_qty for line in order.order_line)"
"Find the best selling product this year","from datetime import datetime\nstart_of_year = datetime(datetime.today().year, 1, 1)\nsales_lines = self.env['sale.order.line'].search([('order_id.date_order', '>=', start_of_year.strftime('%Y-%m-%d')), ('order_id.state', 'in', ['sale', 'done'])])\nproduct_sales = {}\nfor line in sales_lines:\n    if line.product_id in product_sales:\n        product_sales[line.product_id] += line.product_uom_qty\n    else:\n        product_sales[line.product_id] = line.product_uom_qty\nbest_selling = max(product_sales.items(), key=lambda x: x[1]) if product_sales else None"
"Get a list of all users who haven't logged in for the past 3 months","from datetime import datetime, timedelta\nthree_months_ago = datetime.now() - timedelta(days=90)\ninactive_users = self.env['res.users'].search([('login_date', '<', three_months_ago.strftime('%Y-%m-%d'))])"
"Create a new project called 'Website Redesign'","self.env['project.project'].create({'name': 'Website Redesign', 'description': 'Project to redesign company website', 'user_id': self.env.user.id})"
"Set all products in category 'Services' to be services (not stockable)","services_category = self.env['product.category'].search([('name', '=', 'Services')], limit=1)\nservice_products = self.env['product.product'].search([('categ_id', '=', services_category.id)])\nservice_products.write({'type': 'service'})"
